method,split,query_id,n_input,n_output,input_tokens,output_tokens,compression_ratio,reduction_pct,recall,precision,f1,ndcg,latency_ms
BM25,synthetic_g1,syn-14,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,1.2185300001874566
DenseTopK,synthetic_g1,syn-14,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,0.19248999888077378
SelectiveContext,synthetic_g1,syn-14,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.44505400001071393
LLMLingua,synthetic_g1,syn-14,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.3882040036842227
FCNP,synthetic_g1,syn-14,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,17.313472999376245
FCNP-Hybrid,synthetic_g1,syn-14,80,21,985,252,3.9087301587301586,74.41624365482234,0.2,0.047619047619047616,0.07692307692307693,0.3391602052736161,17.000697000185028
NoCompression,synthetic_g1,syn-15,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.34440361603600284,0.0020129955373704433
Random,synthetic_g1,syn-15,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.21398626473452756,0.04752600216306746
TopKImportance,synthetic_g1,syn-15,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.02659200254129246
BM25,synthetic_g1,syn-15,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.528782002220396
DenseTopK,synthetic_g1,syn-15,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,0.1807100052246824
SelectiveContext,synthetic_g1,syn-15,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4471820066100918
LLMLingua,synthetic_g1,syn-15,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.3910899977199733
FCNP,synthetic_g1,syn-15,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,19.5731190033257
FCNP-Hybrid,synthetic_g1,syn-15,80,21,985,252,3.9087301587301586,74.41624365482234,0.2,0.047619047619047616,0.07692307692307693,0.3391602052736161,19.602885004132986
NoCompression,synthetic_g1,syn-16,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.3743294369895751,0.002116001269314438
Random,synthetic_g1,syn-16,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.028788002964574844
TopKImportance,synthetic_g1,syn-16,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.014375997125171125
BM25,synthetic_g1,syn-16,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5314529989846051
DenseTopK,synthetic_g1,syn-16,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.21398626473452756,0.1787450019037351
SelectiveContext,synthetic_g1,syn-16,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.488974001200404
LLMLingua,synthetic_g1,syn-16,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.3854509996017441
FCNP,synthetic_g1,syn-16,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.14606834984270645,19.85407499887515
FCNP-Hybrid,synthetic_g1,syn-16,80,21,985,252,3.9087301587301586,74.41624365482234,0.2,0.047619047619047616,0.07692307692307693,0.14606834984270645,19.5816970008309
NoCompression,synthetic_g1,syn-17,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.2868643692516167,0.0014589968486689031
Random,synthetic_g1,syn-17,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.027027999749407172
TopKImportance,synthetic_g1,syn-17,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.014334000297822058
BM25,synthetic_g1,syn-17,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.8898669984773733
DenseTopK,synthetic_g1,syn-17,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.18338199879508466
SelectiveContext,synthetic_g1,syn-17,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4210359984426759
LLMLingua,synthetic_g1,syn-17,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.3847859989036806
